id,name,description
Q126888012,Fleki,fictional character from Delicious in Dungeon
Q127688815,Aura Bella Fiora,Overlord character
Q12379,Mario,fictional character in the Mario video game franchise
Q32102,Ceres,Roman goddess of agriculture
Q40730,Demeter,"Greek goddess of the harvest, grains, and agriculture"
Q45204,Menhit,Egyptian deity
Q42891,Krishna,"major deity in Hinduism, worshipped as the eighth avatar of Vishnu and also as the Supreme god in his own right"
Q47553,Ishtar,"East Semitic Akkadian, Assyrian and Babylonian goddess of fertility, love, war, and sex"
Q47652,Venus,"Roman goddess of love, sexuality, procreation and pleasure"
Q74189,Wosret,Egyptian deity
Q79876,Isis,Egyptian deity
Q83975,Asherah,ancient Semitic goddess
Q94066,Eileithyia,Greek goddess of childbirth and midwifery
Q146313,Sobek,Egyptian crocodile deity
Q146321,Ptah,ancient Egyptian deity
Q146921,Thoth,Egyptian deity
Q146921,Thoth,Egyptian deity
Q165496,Nut,goddess of the sky in the Ennead of Egyptian mythology
Q190521,Khonsu,Egyptian deity
Q206561,Perun,Slavic supreme god of the sky and war
Q217420,Sin,Mesopotamian lunar god
Q223617,Kubera,The lord of wealth and the god-king of the semi-divine Yakshas in Hindu mythology
Q233674,Makemake,deity in Rapa Nui mythology
Q380817,Kartikeya,"Hindu deity, god of war, son of Shiva and Parvati"
Q394251,Aglibol,Syrian deity
Q466462,Chang'e,Chinese mythical figure
Q472669,Amm,God of the Old South Arabian kingdom Qataban
Q721106,Asaru,Sumerian deity
Q738799,Pushan,deity
Q739765,Máni,personification of the Moon in Norse mythology
Q746495,Narayana,"Vedic deity, often identified with Vishnu"
Q840363,Changxi,Chinese lunar goddess
Q841255,Nandi,"Ideological creature in Hinduism and Indic religions, usually depicted as a Bull"
Q854730,Bhairava,Hindu deity
Q855310,Rudra,deity
Q859392,Ops,Roman goddess of earth and fertility
Q916959,Brihaspati,"Vedic sage, alternatively the Indic name of planet Jupiter, also a Hindu deity"
Q1061606,Balarama,"elder brother of Krishna, a deity in Vaishnavism and Jainism"
Q6745193,Marraco,mythical animal; dragon in Catalan mythology
Q7046395,Nocnitsa,"nightmare spirit or demon in the Slavic mythology that torments people at night, especially children"
Q8099967,Judge Doom,Fictional character in the film Who Framed Roger Rabbit
Q10298127,Angoro,camdonblé deity
Q10313580,Kabila,
Q10313987,Katendê,
Q11212034,fossegrim,water spirit
Q11677884,Yellow Wind Demon,Journey to the West character
Q11940200,Wolf Leader,
Q11954440,old Brígia,figure used in threatening children
Q17039989,Golden-haired Hou,monster in Chinese legends
Q17087111,Sacamantecas,Spanish name for a bogeyman or criminal that kills for human fat
Q17214958,Kuma Chang,
Q24836422,Jing Huan Fairy,Dream of the Red Chamber character
Q24937085,Maa Shoolini,Hindu goddess of victory
Q24950649,Bhathiji,hindu deity
Q25421409,Butoni,
Q25586678,Poomala bhagavathy,hindu god
Q25667992,Roesschaert,
Q28945644,Kubjika,Hindu deity
Q46992440,Huaca pichter-BHM Ethno 1903.441.0013,Huaca pichter depicting a Jaguar man
Q47005688,Huaca pichter-BHM Ethno 1903.441.0020,"Huaca pichter ornated with monkeys and bird heads, central Andes"
Q47014661,Huaca pichter-BHM Ethno 1951.441.204,Huaca pichter ornarnated with a rodent eating maize
Q47014783,Huaca pichter-BHM Ethno 1951.441.213,Huaca pichter depicting a sitted man
Q47035185,Huaca pichter-BHM Ethno 1951.441.0205,antropomorphic huaca
Q47142482,Manda,"Hindu goddess of dance, Chief consort of Shani"
Q48729340,Dhisana,deity
Q48732426,Neela (goddess),Hindu Goddess
Q55614823,Jaganmata,Hindu mother goddess
Q56759767,Mookambika,Hindu goddess
Q60400703,Banjari,Hindu Goddess
Q12389,Donkey Kong,fictional ape from the Donkey Kong series
Q58373,Amun,Egyptian and Berber deity
Q131575,Hecate,Greek goddess
Q131585,Selene,"ancient Greek goddess and personification of the Moon, daugther of Hyperion and Theia"
Q190521,Khonsu,Egyptian deity
Q188931,Bes,Egyptian deity
Q165496,Nut,goddess of the sky in the Ennead of Egyptian mythology
Q133343,Hathor,major goddess in ancient Egyptian religion
Q102884,Mnemosyne,"personification of memory in Greek mythology, mother of the nine muses"
Q108419,Rhea,"female Titan in Greek mythology, mother of Zeus and mother of Hera"
Q116273,Tefnut,"deity of moisture, moist air, dew and rain in Ancient Egyptian religion"
Q125046,Juno,ancient Roman goddess
Q126916,Minerva,"Roman goddess of wisdom and sponsor of arts, trade, and defense"
Q131171,Imhotep,"Egyptian polymath, later revered as a god"
Q131483,Ammit,female demon in ancient Egyptian religion
Q131654,Frigg,Norse deity
Q131795,Seth,"God of the desert, storms, and foreigners in ancient Egyptian religion"
Q145915,Nekhbet,Egyptian deity
Q146007,Wadjet,"ancient Egyptian snake-headed goddess, symbolizing Lower Egypt"
Q146104,Sekhmet,Egyptian deity
Q167849,Resheph,deity associated with plague in ancient Canaanite religion later adopted into ancient Egyptian religion
Q168444,Geb,Egyptian deity of the Earth
Q170138,Shu,"primordial Egyptian god, a personification of dry air, spouse and counterpart to goddess Tefnut"
Q170471,Maat,Egyptian deity
Q170569,Atum,ancient Egyptian creator deity
Q179227,Kólga,personification of waves in Norse mythology
Q190511,Apophis,snake god in ancient Egyptian religion
Q249961,Áine,"Irish goddess of summer, wealth and sovereignty"
Q253056,Ēostre,Germanic goddess
Q253151,Egbado,ethnic group
Q258927,Perchta,Character of Continental Germanic and Slavic Mythology
Q384956,Duṣyanta,character in the Mahabharata by Ananya nair s.q
Q448351,Apasmara,demon of ignorance in hinduism
Q473731,Vayu,Hindu god of the air
Q558970,Xipe Totec,Aztec deity
Q851426,Budha,"Planet Mercury, also a Hindu deity"
Q854683,Bhaga,hindu god associated with fortune
Q922824,Mahākāla,"deity in Hinduism, Buddhism and Sikhism"
Q935053,Harihara,fusion Hindu deity of Vishnu (Hari) and Shiva (Hara)
Q950298,Rahu,Hindu deity representing ascending lunar node
Q955123,Śakuntalā,wife of Duṣyanta and mother of Emperor Bharata in Hinduism
Q1114098,Bhagadatta,character in the Mahabharata; son of Narakasura
Q1585773,Rukmiṇī,Principal wife and queen of Krishna
Q1770690,Mādrī,character from Indian epic Mahabharata
Q1849082,Gāndhārī,character in the Hindu epic
Q2228265,Savitr,deity in Vedic Hinduism
Q2232493,Bhavānī,Forms of Hindu goddess Parvati
Q2361729,Kāmadhenu,Hindu cow goddess
Q2428612,Dumuzid the Shepherd,fertility God; king of Sumer
Q27870129,Bruixa curruixa,
Q28922730,nkisi nkondi-71.1892.70.4,"Nkisi, hedgehog statue inhabited by a spirit"
Q56343347,Cornflower Wraith,mythical character
Q65057235,Scorpion Demoness,Journey to the West character
Q107460253,Crystagella,"Indonesian virtual musician, DJ, Producer, Singer"
Q111844893,Paiyatemu,Zuni Sun Youth deity capable of entering the sun and bringing about fertility
Q135069812,Matamba,candomblé deity
Q136102045,Marmajor,
Q136388369,Tilly Norwood,AI-generated character
Q4515432,Zhang Xian,Chinese mythological figure
Q487290,Anat,Canaanite war deity
Q2122828,Zhinü,Chinese goddess
Q129106,Bastet,Egyptian cat deity
Q131203,Nyx,Greek goddess of the night
Q132127,Kālī,Hindu goddess associated with empowerment
Q149042,Xochiquetzal,"Mexic deity of beauty, flowers, loving pleasure, arts and love."
Q165023,Nike,goddess of victory in Greek mythology
Q192322,Min,Egyptian deity
Q194054,Qebui,Egyptian god of the north winds
Q207435,Taweret,ancient Egyptian goddess
Q478490,Seshat,Egyptian deity
Q481554,Amun-Ra,ancient Egyptian deity
Q481561,Amon-Ra-Kamutef,deity
Q487290,Anat,Canaanite war deity
Q1073827,Pandia,"Greek goddess, daughter of Zeus and Selene"
Q1118976,Rosmerta,Gallic goddess of abundance and fertility
Q1137398,Mama Quilla,deity
Q1235172,Luna,Roman goddess of the Moon
Q1247904,Aphroditus,Greek deity
Q1324655,Kāla,deity and concept in Hinduism
Q1325016,Elatha,Irish mythological character
Q1332956,Mitra,divinity of Indic culture
Q1367259,Ketu,Hindu deity representing descending lunar node
Q1370311,Jagannath,"Hindu God, believed to be abstract form of Krishna."
Q1519326,Yarikh,deity
Q1647325,Freyja,"goddess associated with love, beauty, fertility, sex, war, gold, and seiðr in Norse mythology"
Q2357063,Śikhaṇḍī,character in Mahabharata
Q2357086,Dhṛṣṭadyumna,character in the Mahabharata
Q2367305,Chitrangada,3rd wife of Pandava prince Arjuna's in epic Mahabharata
Q2381126,Śalya,character from Indian epic Mahabharata
Q2381146,Jayadratha,character in the Indian epic Mahabharata
Q2472652,Adhiratha,character in the Mahabharata
Q2472921,Babhruvāhana,Son of Arjuna
Q2544531,Funky Kong,fictional character from the Donkey Kong series
Q2633157,Nahuṣa,Indian king
Q2669309,Kritavarma,one of the Yadava warriors
Q2669688,Barbarika,The son of Ghatotkacha and Maurvi
Q2723039,Duhsala,character in the Indian epic Mahabharata
Q2723053,Ahilawati,female figure in the epic Mahabharata
Q2724587,Bhūriśravas,fictional character
Q2798054,Krusha,fictional character and enemy from the Donkey Kong series
Q2841495,Samba,Son of Krishna & Jambavati
Q2939275,Carlos Dash,fictional character in the 2000 film Highlander: Endgame
Q3016171,Darius,fictional character in the television series Highlander: The Series
Q3057482,Zaden,god of fruitfulness in Georgian mythology
Q3067203,Fati,polynesian god of the Moon
Q3148627,Ilargi,Daughter of Mother Earth in Basque mythology
Q3269601,Tomor,father of gods and humans in the Albanian mythology
Q3837445,Losna,Etruscan moon goddess
Q4132980,Konseijin,
Q4673940,Achuguayo,God of the Moon - Canary Islands
Q4830744,Ay Dede,Father Moon of Turkic mythology
Q5118941,Chía,triple goddess in the religion of the Muisca who inhabited the Altiplano Cundiboyacense in pre-Columbian times
Q6754727,Marama,lunar deity
Q6778745,Dolun Han,
Q6796756,Maya moon goddess,mesoamerican moon goddess
Q37122,Athena,goddess of wisdom and war in ancient Greek religion and mythology
Q145983,Tiamat,ancient Mesopotamian primordial goddess of the seawater and the symbol of the chaos of primordial creation
Q183097,Khnum,god of creation and the waters in Egyptian mythology
Q184570,Iris,the personification of the rainbow in ancient Greek religion and mythology
Q188236,Cybele,Anatolian mother goddess
Q192107,Hemera,ancient Greek goddess of the day
Q208150,Apis,sacred bull in Egyptian mythology
Q208735,Amunet,"Egyptian goddess, wife of Amun"
Q211611,Anuket,"Egyptian deity of the cataracts of the Nile and Lower Nubia in general, worshipped especially at Elephantine near the First Cataract"
Q215940,Khepri,Egyptian deity of the rising sun
Q221735,Atargatis,ancient goddess of Northern Syria
Q237224,Bia,"ancient Greek goddess, personification of force"
Q262099,Imentet,Egyptian goddess of the necropolises west of the Nile.
Q268822,Mehit,ancient Egyptian lionness goddess
Q276563,Nun,Egyptian deity
Q319772,Abesh,ancient Egyptian minor deity of a funerary nature
Q319989,Sokar,falcon god in Egyptian religion linked to Ptah and Osiris in the underworld
Q499413,Arensnuphis,ancient Egyptian deity
Q517727,Khumban,deity
Q547968,Akhkhazu,
Q577777,Seaxnēat,National god of the Saxons
Q595520,Tsukuyomi,moon god in Shinto and Japanese mythology
Q604633,Heqet,Egyptian goddess
Q1133509,Dyaus Pita,ancient god of sky in the Vedic religion
Q1157763,Daksha,Hindu god
Q1207299,Qianliyan,"figure in Chinese mythology, frequently presented as a door god (menshen)"
Q1992668,Śakuni,character from Hindu epic Mahabharata
Q2044550,Aśvatthāmā,character of Mahābhārata
Q2044641,Sahadeva,character of Indian epic Mahabharata
Q2255902,Moon,classical astrological planet
Q2327403,Songzi Niangniang,Taoist fertility goddess
Q2381158,Sātyaki,character in Hindu epic Mahabharata
Q2382488,Kīcaka,character in Mahabharata
Q2389430,Drupada,character in the Hindu epic Mahabharata
Q2392426,Yuyutsu,Son of Dhritrashtra and a concubine in epic Mahabharata
Q2417584,Aramazd,creator god in pre-Christian Armenian mythology
Q2417584,Aramazd,creator god in pre-Christian Armenian mythology
Q2850235,Anjea,Australian Aboriginal fertility goddess
Q2879293,Bahloo,Moon god in the native Australian mythology
Q118902899,Karumariamman,hindu goddess of smallpox and health
Q122658313,Padmakshi Renuka,Hindu Goddess
Q123018476,Angala Devi,hindu goddess
Q123900699,Naiṇī Devī,local Himalayan Hindu Goddess
Q124313995,Mogal Maa,hindu Folk Goddess
Q124610287,Umiya Mata,Hindu goddess
Q125338970,Padmanabha,an epithet of the Hindu deity Vishnu
Q134696426,Taleju bhawani,Royal goddess of the Malla dynasty in Nepal
Q135472441,Gav Pandhar,"A traditional village guardian deity worshipped in the Konkan region of Maharashtra, India"
Q135677478,Twelve Flower Fairies,
Q138313563,Viṣṇudurga,Hindu goddess representing Shakti of Vishnu
Q138390844,Nine-tailed Fox,Journey to the West character
Q138412355,Fox Aqi,Journey to the West character
Q487290,Anat,Canaanite war deity
Q129820,Taionjin,
Q131125,Hebe,ancient Greek goddess of youth
Q262635,Ki,babylonian goddess
Q266462,Pachamama,deity
Q267445,Sarpanit,"main god of Babylon, and a goddess of birth"
Q272523,Inanna,Sumerian goddess
Q282628,Salus,roman goddess of wellbeing
Q417407,Aker,Egyptian deity of the eastern and western horizons and an earth and underworld god
Q421672,Dedun,Egyptian deity
Q444391,Tanfana,Germanic goddess
Q458489,Sigi,deity
Q460404,Amdjeru,the ancient Egyptian goddess of the underworld
