name,normalized_name,description,type,source,source_id,language_hint,romanized,alias_of,confidence
Prince Jin,prince jin,"crown prince of King Ling of Zhou, mid 6th century BC, later venerated as a Taoist immortal",fictional_character,wikidata_fictional_characters_en,Q10941178,en_romanized,true,,0.92
Three Goddesses of Munakata,three goddesses of munakata,,fictional_character,wikidata_fictional_characters_en,Q10948069,en_romanized,true,,0.92
Yin Jiao,yin jiao,"the leader of Tai Sui gods, the prince of Shang dynasty in Fengshen Yanyi (Investiture of the Gods)",fictional_character,wikidata_fictional_characters_en,Q11125769,en_romanized,true,,0.92
Sanki Daigongen,sanki daigongen,,fictional_character,wikidata_fictional_characters_en,Q11358323,en_romanized,true,,0.92
Kume no sennin,kume no sennin,,fictional_character,wikidata_fictional_characters_en,Q11369576,en_romanized,true,,0.92
Gama Sennin,gama sennin,hermit figure in Chinese folklore,fictional_character,wikidata_fictional_characters_en,Q11625785,en_romanized,true,,0.92
Kavyada,kavyada,Term for the Vedic god Agni,fictional_character,wikidata_fictional_characters_en,Q11748054,en_romanized,true,,0.92
Bharati,bharati,hindu goddess,fictional_character,wikidata_fictional_characters_en,Q12303371,en_romanized,true,,0.92
Khyati,khyati,Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q12422779,en_romanized,true,,0.92
Chandraghanta,chandraghanta,third form of Durga,fictional_character,wikidata_fictional_characters_en,Q12425525,en_romanized,true,,0.92
Isakki,isakki,hindu Goddess,fictional_character,wikidata_fictional_characters_en,Q12974266,en_romanized,true,,0.92
Vakula Devi,vakula devi,Foster Mother of Lord Venkatachalapathy,fictional_character,wikidata_fictional_characters_en,Q13009073,en_romanized,true,,0.92
Arya Poonkani,arya poonkani,Regional Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q13110263,en_romanized,true,,0.92
Kadangot Makkam,kadangot makkam,regional Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q13113963,en_romanized,true,,0.92
Kushmanda,kushmanda,Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q15045453,en_romanized,true,,0.92
Three Witches,three witches,characters in Macbeth,fictional_character,wikidata_fictional_characters_en,Q15698345,en_romanized,true,,0.92
Ashta Bhairavar,ashta bhairavar,Aspect of Shiva,fictional_character,wikidata_fictional_characters_en,Q15706677,en_romanized,true,,0.92
Dhamarai,dhamarai,Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q15724347,en_romanized,true,,0.92
Panchalingeswar,panchalingeswar,Hindu god,fictional_character,wikidata_fictional_characters_en,Q15724486,en_romanized,true,,0.92
Dhara,dhara,"one of the Hindu Vasus, gods of the physical cosmos",fictional_character,wikidata_fictional_characters_en,Q16041401,en_romanized,true,,0.92
Uchitta Bhagavathy,uchitta bhagavathy,hindu goddess,fictional_character,wikidata_fictional_characters_en,Q16133925,en_romanized,true,,0.92
Ghantakarnan,ghantakarnan,Hindu deity,fictional_character,wikidata_fictional_characters_en,Q16136808,en_romanized,true,,0.92
Balambika,balambika,A goddess of the Hindu religion,fictional_character,wikidata_fictional_characters_en,Q17005399,en_romanized,true,,0.92
Hadabai,hadabai,,fictional_character,wikidata_fictional_characters_en,Q60400995,en_romanized,true,,0.92
Qin Gao,qin gao,,fictional_character,wikidata_fictional_characters_en,Q60442709,en_romanized,true,,0.92
Zhenyuan Daxian,zhenyuan daxian,character in the novel Journey to the West,fictional_character,wikidata_fictional_characters_en,Q60989751,en_romanized,true,,0.92
Vishvakarma,vishvakarma,deity,fictional_character,wikidata_fictional_characters_en,Q61078183,en_romanized,true,,0.92
Akash Bhairav,akash bhairav,hinduist deity,fictional_character,wikidata_fictional_characters_en,Q83693553,en_romanized,true,,0.92
Pratyusha,pratyusha,Hindu deity,fictional_character,wikidata_fictional_characters_en,Q97324470,en_romanized,true,,0.92
Rama in Sikhism,rama in sikhism,Depiction of Rama in Sikhism,fictional_character,wikidata_fictional_characters_en,Q106040937,en_romanized,true,,0.92
Momai,momai,regional Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q106829254,en_romanized,true,,0.92
Chimeng Xiangu,chimeng xiangu,Dream of the Red Chamber character,fictional_character,wikidata_fictional_characters_en,Q108461843,en_romanized,true,,0.92
Rahi,rahi,regional form of Hindu goddess Radha,fictional_character,wikidata_fictional_characters_en,Q110565208,en_romanized,true,,0.92
Sundaravalli,sundaravalli,hindu goddess of free will and desire,fictional_character,wikidata_fictional_characters_en,Q112317054,en_romanized,true,,0.92
Raktadantika,raktadantika,hindu goddess,fictional_character,wikidata_fictional_characters_en,Q112612210,en_romanized,true,,0.92
Mahishasuramardini,mahishasuramardini,,fictional_character,wikidata_fictional_characters_en,Q113788033,en_romanized,true,,0.92
Meldi Mata,meldi mata,hindu goddess,fictional_character,wikidata_fictional_characters_en,Q115516927,en_romanized,true,,0.92
Twarita,twarita,hindu goddess,fictional_character,wikidata_fictional_characters_en,Q115625776,en_romanized,true,,0.92
Cupid,cupid,"Roman deity, counterpart of Eros",fictional_character,wikidata_fictional_characters_en,Q5011,en_romanized,true,,0.92
God Brahma,god brahma,creator god in Hinduism,fictional_character,wikidata_fictional_characters_en,Q11389,en_romanized,true,,0.92
Aditi,aditi,Mother of the gods in the Vedas,fictional_character,wikidata_fictional_characters_en,Q31666,en_romanized,true,,0.92
Zeus,zeus,Greek god of the sky and king of the gods,fictional_character,wikidata_fictional_characters_en,Q34201,en_romanized,true,,0.92
Satan,satan,entity in the Abrahamic religions that tells others to do sinful actions,fictional_character,wikidata_fictional_characters_en,Q35230,en_romanized,true,,0.92
Krishna,krishna,"major deity in Hinduism, worshipped as the eighth avatar of Vishnu and also as the Supreme god in his own right",fictional_character,wikidata_fictional_characters_en,Q42891,en_romanized,true,,0.92
